gulbú,61
hvítgrænn,61
hvítgrænn,61
kuldagrár,61
rauðnefur,61
stíflugulur,61
stokkrjóður,61
jökulhvítur,60
rökkurblár,60
blásvell,59
bláupphaf,59
millibrúnn,59
mosabrúnn,59
sortahríð,59
svartbikaður,59
svertingjahatur,59
blásóley,58
grábróðir,58
grámálaður,58
gráúlfur,58
hafblámi,58
hörundshvítur,58
kinnaroði,58
seiðblár,58
Blámýri,57
Græná,57
helsvartur,57
hvítskeggur,57
rauðnösóttur,57
röðulroði,57
svartmyrkur,57
túrkísblár,57
vaxgulur,57
bládröfnóttur,56
Bláuggi,56
guluveiki,56
hvítskellóttur,56
kinnarjóður,56
Svartafell,56
bláalda,55
grápappír,55
kvöldblár,55
rauðamorgunn,55
svartaspraka,55
svartblettur,55
vonargrænn,55
bleikingarefni,54
daufgrár,54
Grænsdalur,54
grænþvottur,54
gráloðinn,54
Hvítivetur,54
myntugrænn,54
svartsvanur,54
svertingjaríki,54
tóbaksgulur,54
blálygn,53
daufbleikur,53
hvítgljáandi,53
svartsaumur,53
blábaktería,52
blágeimur,52
Bláhamar,52
blárönd,52
blástirndur,52
Brúney,52
jökulgrár,52
neongrænn,52
skærhvítur,52
alblár,51
blákarpi,51
bleikhvítur,51
bleikhvítur,51
grænáta,51
hversdagsgrár,51
koparrauður,51
nýburagula,51
rauðhjálmóttur,51
rykgrár,51
svartgolsóttur,51
bláfastur,50
blálogn,50
bleikstjörnóttur,50
frelsisroði,50
ilbleikur,50
purpurablár,50
Rauðbroti,50
rauðdröfnóttur,50
Svartasker,50
svartbeltingur,50
Svartengi,50
bálhvítur,49
Blágnípa,49
blánefjaður,49
bleikskinni,49
Hvítamyrkur,49
leirgrár,49
svartdröfnóttur,49
bleiknefur,48
fjallablár,48
gráleikinn,48
hvítbein,48
hvítfölur,48
hvítsykur,48
Rauðakúla,48
rauðkynda,48
bláskínandi,47
brúnlýsi,47
gljáhvítur,47
Hvítkolla,47
hvítvængjaður,47
línhvítur,47
rauðpaprika,47
sólrauður,47
Svartibakki,47
berjablámi,46
blábakki,46
Blákraftur,46
blámarinn,46
dreyrroðna,46
grárauður,46
grárauður,46
gulhærður,46
gullitaður,46
hvítleiki,46
rauðkinnóttur,46
svartmynd,46
svartsanseraður,46
Bláarbakki,45
bláflekkóttur,45
bláljós,45
Bláströnd,45
blásumar,45
engilhvítur,45
firðblár,45
rauðpanda,45
Rauðukambar,45
svarthálsóttur,45
svartvatn,45
tandurhvítur,45
Bláalón,44
Bláteigur,44
gallrauða (bilirubin),44
hvíthvalur,44
næpuhvítur,44
niðsvartur,44
Rauðanúpur,44
Rauðhús,44
blásokka,43
Gráhraun,43
haustgrár,43
Svartey,43
Bláhattur,42
bleikgrænn,42
bleikgrænn,42
grænsvartur,42
grænsvartur,42
hálfblár,42
hvítlisti,42
Hvítrússland,42
Hvítstaðir,42
karrýgulur,42
morgunblár,42
Rauðsmýri,42
svartkápóttur,42
vararoði,42
Blátjörn,41
bleikjunet,41
bleiklitur,41
ellibleikur,41
grænbleikur,41
grágolsóttur,41
grájurt,41
grálitur,41
grasgrænka,41
gullax,41
gultoppur,41
hvítuggi,41
indígóblár,41
kalkhvítur,41
kinnrjóður,41
ljóshvítur,41
lognhvítur,41
ryðgulur,41
sauðgrár,41
skyrhvítur,41
blábleikur,40
blábleikur,40
bleikjuframleiðandi,40
bleikjusvæði,40
bleikjuvatn,40
fjósarauður,40
glóhvítur,40
grænbleikur,40
grænpipar,40
gráerta,40
gulkolóttur,40
hvítunarefni,40
kveldroði,40
rauðaspjaldið,40
rauðgrýti,40
rauðspritt,40
bláfagur,39
bleikgrár,39
bleikgrár,39
Grænagerði,39
Grænihvammur,39
guláll,39
hvítfyssi,39
hvítull,39
mjallarhvítur,39
rauðbiða,39
rauðbólginn,39
rauðskinna,39
silfurgrænn,39
svartgrænn,39
svartrauður,39
svartrauður,39
svartstrútóttur,39
svartþorskur,39
bládöggvaður,38
bláfextur,38
bláhosa,38
bláís,38
blátóna,38
fjarlægðarblámi,38
grænsalat,38
gráháfur,38
haustrauður,38
hnotbrúnn,38
hvítsíðingur,38
rauðbrot,38
Rauðibotn,38
Rauðskjóna,38
reykgrár,38
rjóðleitur,38
svartbrýnn,38
svartgóma,38
svartgrænn,38
svarthuppóttur,38
vangarjóður,38
bládropóttur,37
blágerill,37
bláhveiti,37
bleikrósóttur,37
grámagi,37
hreinblár,37
hvíthol,37
hvítröndóttur,37
hvítskeftur,37
mintugrænn,37
Rauðkumál,37
svarthveðnir,37
Svartikambur,37
bleikblár,36
bleikblár,36
glógulur,36
grænskógur,36
gulmura,36
hrafntinnusvartur,36
hvítfura,36
Rauðgerði,36
rósaroði,36
Svartaskarð,36
svartburkni,36
vofubleikur,36
Bleikagróf,35
blýhvíta,35
dauðableikur,35
fjólublámi,35
grálóa,35
grárefur,35
gráskrofa,35
hvítabirna,35
hvítugreining (sclerology),35
laxbleikur,35
rauðbreyskingur,35
rauðíkorni,35
sjógrænn,35
blábók,34
blákembdur,34
blákjafta,34
Blámar,34
bláriddari,34
bleikiduft,34
bleikiklór,34
brúnöl,34
grákolóttur,34
grávatn,34
hvítavoð,34
hvítbotna,34
hvítbryddaður,34
hvíteik,34
Rauðahús,34
rökkurblámi,34
bláleir,33
brúnkuklefi,33
glerblár,33
gráberg,33
Hvítavatn,33
jafnsvartur,33
kremhvítur,33
morgunrjóður,33
Rauðbrók,33
Rauðvatn,33
skógarblámi,33
stjörnublámi,33
svartanótt,33
svarthlutur,33
Svartnes,33
svartpúður,33
svartpúður,33
blárökkur,32
bleikivatn,32
drifahvítur,32
fitusverta,32
frostblár,32
Grænidalur,32
hermannagrænn,32
himinroði,32
hvítmosi,32
limegrænn,32
neongulur,32
rauðasmiðja,32
rauðstör,32
svarrauður,32
Svartavatn,32
tannhvítur,32
bláfjallaður,31
blágirni,31
Bláhæð,31
Bláhylur,31
blámistraður,31
Bláskinna,31
brúnjarpur,31
ginnhvítur,31
grænköflóttur,31
grálega,31
grámóða,31
grásilfraður,31
gróðurgrænn,31
gulnefur,31
hvítrófa,31
kvöldrauður,31
rauðheitur,31
Rauðsýki,31
skammdegissorti,31
smjörgulur,31
blábrystingur,30
bláfjara,30
bláofinn,30
bleikjurækt,30
grábíldóttur,30
grænlitaður,30
grástör,30
gulgljáandi,30
helbleikur,30
lognblár,30
rauðgljáandi,30
svartaskáld,30
svartaskór,30
svartleistóttur,30
bláhærður,29
bláhjarn,29
blákolóttur,29
Bláserkur,29
bláþyrill,29
bleikaslaufan,29
bleikjusódi,29
bleiklitaður,29
bleksverta,29
brúnhöttóttur,29
daufrauður,29
grænvöndur,29
grámata,29
guldröfnóttur,29
guleygður,29
húmblámi,29
hvítstör,29
hvítstorkur,29
hvítþinur,29
hvítumagn,29
hvítusamband,29
kólgugrár,29
líkbleikur,29
múrgrár,29
rauðblómaður,29
rauðháfur,29
rauðkinnungur,29
rauðmengaður,29
rauðseyddur,29
Svartihnjúkur,29
svertingjablóð,29
vatnsgrár,29
Bláargerði,28
bláhvelfdur,28
blárest,28
bláþrykktur,28
bleikjuframleiðsla,28
bleiktóna,28
dimmsvartur,28
eplagrænn,28
gallrauði (bilirubin),28
grænbryddur,28
Grænhúfa,28
Grænistekkur,28
grágugginn,28
gráleikur,28
grályng,28
Grárófa,28
gulnefja,28
hindberjarauður,28
Hvítakot,28
hvítblinda,28
hvítfryssandi,28
hvítloðinn,28
kolbrúnn,28
skítgrár,28
skýsorti,28
sterkblár,28
svartbæsaður,28
Svartkell,28
Svartkollur,28
svartkrúnóttur,28
tjörusvartur,28
trafhvítur,28
blájökull,27
blámerktur,27
dauðbleikur,27
fílabeinsgulur,27
Grænaþing,27
grænkarpi,27
grásveppur,27
gulepli,27
gulkollóttur,27
hafgrænn,27
